authors,content,doc_id,note
State Agency on Energy Efficiency and Energy Saving of Ukraine,"Ukraine is implementing EU experience and standards on eco-design and energy labeling  European consumers have saved more than 120 billion euros in 2021 thanks to the current requirements for eco-design and energy labeling of energy-related products. Savings are expected to exceed 250 billion euros in 2022.   Ukraine is also actively implementing European ecodesign and energy labeling requirements. For today Ukrainian Government has adopted: ● 27 technical regulations that set minimum energy efficiency requirements for energy-related products; ● 15 technical regulations for energy labelling of energy-related products.   All of these technical regulations have been developed by the State Agency on Energy Efficiency and Energy Saving of Ukraine.  To increase the number of energy efficient goods on the Ukrainian market, the Agency is developing a number of new technical regulations in accordance with Directive 2009/125/EU.   Find out more about EU further plans:  https://lnkd.in/dQ7CNa2v Valerii Bezus Energy Community Energy Commission Cabinet of Ministers of Ukraine #energyefficiency ",532,4.0
Piyada Saut,"Packaging designed according to the principles of eco-design, which use recycled, ecological and easy-to-dispose of materials: these are the choices that have allowed us to integrate sustainability into our packaging too         ",533,4.0
TreaSure - IndiaforSure,"European Union has identified the Textile Sector as a priority with policies such as the European Green Deal, the Circular Economy Action Plan, and the Industrial Strategy placing importance on the sector. The European Commission in 2021 has published a Roadmap for Sustainable Textiles for public consultation. The European Council has now proposed rules focused on responsible production and incorporating eco-design in textile products to promote circularity such as having a digital passport for products.   Newslink -  https://lnkd.in/g6s4FxdV INDIAN TEXPRENEURS FEDERATION (ITF) Prabhu Dhamodharan #business #businessnews #textileindustry #news #textiles #success #clothing #latestnews #businesstrendsfor2022 #textile #indiaforsure #stable #sustainability #sustainable #reliable #ethical #apparel #technology #economy #environment #greeneconomy #greenfuture #commerce #sustainability #sustainable #sustainabledevelopment #biodegradable #ecofriendly ",534,4.0
Christian Engene,"It is over 6 years ago I first joined, what had already started to take shape into, the innovation agency Above.se. The professional and personal growth I have experienced in the years at Above will be impossible to match. It has been a fantastic time, with the most brilliant people around, designing future experiences and products.  Thank you for everything   Now I am moving on to new things, but feel sure that the focus on sustainability will be carried on by Jonas Samrelius, who is by the way recruiting some very important roles for Above forward. Check them out!  https://lnkd.in/gKnP8bTs https://lnkd.in/gxTESs6s  From now on you can reach me as a freelancing eco-design and circular design strategist. More things are to come here, but I am already up and running on new exciting projects.  christian@remanufaktur.co ",546,4.0
eion.io,"(EN) How can we continue to promote creators of the visual arts while remaining faithful to our values and innovating? The French State validates all our innovation efforts by accepting our request for the Innovation Credit: ""eion offers superior technical performance, functionality, ergonomics or eco-design compared to products marketed by your competitors"".             ",547,4.0
Joel Armengol Pagès,"This week I have been in Torino for LEITAT, developing the #CLEANTEXproject, with the aim of promoting the uptake of a circular economy and eco-design concepts, and to develop the skills of students in textile engineering.  #circulareconomy #ecodesign #sustainability ",548,4.0
Jane Mossman,"Loving this hybrid eco-design innovation session hosted brilliantly by James Wright, Sustainable Ventures with our Better Futures+ businesses. Learning how to think about and brainstorm innovative Human Centred Design ideas for their potential net zero products and services. #netzero2030 #climatechange #sustainable #innovation ",549,4.0
ALVIC,"Today in Maderalia, the outstanding architect Héctor Ruiz Velázquez will give a talk regarding Eco-design, Sustainability and how to incorporate it in your projects, like our stand for the fair.  Don't miss out this incredible event today at 12:00h!         ",550,4.0
Coloplast Wound and Skin Care,"At Coloplast, we strive to address environmental challenges. Watch the video to learn how we incorporate eco-design principles when developing products.   Learn more about our sustainability strategy:   Coloplast Professional: https://lnkd.in/exfGCNUi  Corporate page: https://lnkd.in/euZAve83 #sustainability #Strive25 #coloplast #environment  Coloplast Sustainability Report 2020/21, page 10.         ",551,4.0
Michelle Gordon," Exciting news today from those us of engaged in circular economy and product design   The European Commission just released a new package of #CircularEconomy proposals as part of the #EUGreenDeal.   These new rules aim to make almost all physical goods on the EU market more environmentally sustainable, circular, and energy efficient throughout their lifecycle, and include:    An update of the Eco-Design directive  A digital product passport   A strategy on sustainable and circular textiles  New rules on 'green claims' / communicating product sustainability  I’m exciting to digging into these documents in the coming days to understand just how ambitious they are.   Please don’t hesitate to hit me up for a cup of coffee if you’re interested in comparing notes! ️  Check out the press release: https://lnkd.in/exQPP594 Watch the press conference: https://lnkd.in/eUJgExnv ",552,1.0
Anguie Contreras,"Dear LinkedIn network,  On Sunday, April 3, 2022, the ""Circular Economy. Environmental Footprints and Eco-design of Products and Processes"" book was published by Springer, the global publisher of Springer Nature Group. The latter represents my beginning in scientific research field.  The book has thirteen high-impact chapters developed collaboratively by the ""Global Business Research"" International Business degree group at Universidad de Lima. I am extremely grateful for the opportunity and teachers in charge of the research group support.  Below, I share the following links to the two chapters in which I participated as co-author:  • Virtual Education: Carbon Footprint and Circularity    https://lnkd.in/dAiY8JrM  • Circular Economy for Food Loss Reduction and Water Footprint    https://lnkd.in/d-d_qKtp  Let's go for more!   #springer #scientificresearch #internationalbusiness #sustainability ",553,2.0
ready2LOOP,"Next stop on the intro tour is our student assistant Ebbe Bliksted. Ebbe is working alongside Jytte to help spread the word on circular economy and the ready2LOOP platform.    He is currently studying Design & Innovation on the 4th semester at DTU - Technical University of Denmark. Ebbe has a great interest in Eco-design and wants to create products and systems that limit the impact we have on the planet.    When he is not at DTU he spends his time playing football or reading a good book.   Welcome to the team, Ebbe!   #team #circulareconomy #danishindustry ",554,4.0
"Dr Subramanian Senthilkannan Muthu, PhD in Textiles Sustainability","Call for Potential Authors for Publication of Scientific Books by Springer- Nature- Book Series: Environmental Footprints and Eco-design of Products and Processes- Series Editor: Dr Subramanian Senthilkannan Muthu  Interested Authors can reach out to me directly by a PM.   This series aims to broadly cover all the aspects related to environmental assessment of products, development of environmental and ecological indicators and eco-design of various products and processes. Below are the areas fall under the aims and scope of this series, but not limited to: Environmental Life Cycle Assessment; Social Life Cycle Assessment; Organizational and Product Carbon Footprints; Ecological, Energy and Water Footprints; Life cycle costing; Environmental and sustainable indicators; Environmental impact assessment methods and tools; Eco-design (sustainable design) aspects and tools; Biodegradation studies; Recycling; Solid waste management; Environmental and social audits; Green Purchasing and tools; Product environmental footprints; Environmental management standards and regulations; Eco-labels; Green Claims and green washing; Assessment of sustainability aspects.  #sustainability #recycling #sustainable #management #design #water #wastemanagement #environmental #development #energy https://lnkd.in/gv-PqM8b ",555,1.0
Alex Fung,LED T5 tube handily replaces a T5 fluorescent tube with mercury free. Adopts an Eco-design lighting product to contribute sustainable development. #Prosperity #Prosperitylamps #KANDOlite #LEDTube #T5 #T5ECG #CIC #GreenProductCertification #sustainabledevelopment ,576,2.0
eolos | engineering the future,"The next 5 years will be critical to mitigate global warming, we know it, you know it (in any case, you should know it !)...    According to the World Economic Forum, the industry sector is responsible for one-fifth of the human activity related green-house gas (GHG) emissions, while consuming more than half (54%) of the world’s energy sources. As a result, more and more manufacturing companies acknowledge this responsibility and commit to their #decarbonisation .  On this ambitious journey, those companies have to transform and sometimes reinvent themselves. Coincidentally, they must pursue the first small steps and prepare for the forthcoming leaps, supported by innovation.   In order to accompany them at all levels, eolos | engineering the future and Naldeo Technologies & Industries combine their expertise. We cooperate with you to:     Build an operational decarbonisation strategy and engage a transformation project   Decarbonise production sites with #energyefficiency, #renewableenergy and process #innovation, from diagnosis to onsite hand-over   Imagine new circular economy and eco-design opportunities for products   Do not wait: the low-carbon economy is already there, it’s time to shift your company.  Would you like to know more about how to get started ? Let’s talk !  Henri Cuin, Jonas Briese, Alexis Scotto d'Apollonia, Anne Boggione         ",577,2.0
Turatsinze Jr,"I am very pleased to see that the ""flash team,"" for the Design Engineering Project of Sanitation Quality Water, which was developed and will be designed for developing countries through United Nations support in its SDG's Goals, is moving forward. United Nations World Eco-Design Conference (WEDC) Zhejiang University SDGs #design #university #engineering #project #design #quality #water #team  link to visit progress https://lnkd.in/eX-qxu4S  The team behind this amazing project         ",578,4.0
Aurore Mourette,"Passionné par l'#économiecirculaire? Je recherche un Chef de Projets ""Economie Circulaire"" pour reprendre la coordination des mesures ""Circular Design"" (eco-design) de la stratégie wallonne ""Circular Wallonia"" pour l'industrie des plastiques.   Vous aurez la chance de travailler en étroite collaboration avec les fédérations belges essenscia, Denuo, la fédération Wallonie Bruxelles représentant les ONG environnementales (Inter - Environnement - Wallonie), le Pôle de compétitivité GreenWin, l'équipe du cluster PLASTIWIN et directement avec la Cellule de coordination Circular Wallonia et le Cabinet du Ministre Willy Borsus.   Une belle opportunité pour accompagner des entreprises wallonnes de l’industrie des plastiques vers plus de circularité!   Postulez avant le 24 avril!   Plus d'info: https://lnkd.in/dpZrgqXr #job #emploi #environnement ",579,4.0
Eco-mobilier,"En direct du salon MAISON&OBJET,  Dominique Mignon, Antoine Roset, Fabien Cambon et Antoine Covillers présentent l’Innovation Day, notre rendez-vous annuel dédié à l’éco-conception.   Cet événement fait partie de notre programme « Innovation for Eco-design », qui consiste à mettre en relation nos adhérents et des innovateurs aux solutions durables et viables afin d’éco-concevoir ensemble des éléments d’ameublement   Retrouvez nos équipes à l’entrée du hall 6 pour échanger et poser toutes vos questions          ",580,4.0
The MUZES,"[Krups] Development of a landing page to support the launch of the latest eco-designed automatic expresso machine   Krups launches a new automatic expresso machine that ensures perfect coffee taste, all with an eco-design approach. As coffee addicts, The MUZES who have been working with the brand for several years was delighted to support the brand on the digital launch of this innovation. With the objective to present and explain the new machine, the landing page is an essential touchpoint for customers in the purchase process. The aim? Gather and organize all of the contents to convey the right messages to future customers at the heart of the brand site. The speech structure was established through a simple but very effective methodology.  Thank you to Sophie GANNAT and Julie BURY for your trust. And thanks to all the talents who collaborated on this project.   Check out the link in the comments for more info.   #digital #landingpage #contentmarketing #digitalmarketing #development #wearethemuzes ",582,4.0
Josep Capdevila Garolera,ALVIC emerge en Maderalia con su concepto Eco-design.  http://ow.ly/4ZhJ50IrYSN ,583,4.0
Rigreen,"Oggi il packaging rappresenta sempre più un terreno di innovazione in ottica circolare.   Per le imprese, progettare un packaging sostenibile ecologico significa riconsiderare le filiere di approvvigionamento con l’obiettivo di ridurre l’impatto sociale e ambientale, ma soprattutto adottare criteri di eco-design responsabile e circolare in fase di ideazione e progettazione.   #circulareconomy #packaging #sustainablepackaging #innovazionesostenibile #economiacircolare #impattoambientale #ecodesign #packagingindustry ",585,4.0
Pontis Engineering,"On the road to highly recyclable composites  #ZEBRA project reaches a major milestone with the production of the first prototype of its recyclable wind #turbine blade  The ZEBRA (Zero waste Blade ReseArch) project, driven by the French research center IRT Jules Verne , brings together industrial companies and technical centers to demonstrate at full scale the technical, economic and environmental relevance of #thermoplastics  wind turbine blades, with an eco-design approach to facilitate recycling.  At the end of March, the ZEBRA project took another step forward in the industry's transition to a circular economy with the production of the first prototype of the 100% recyclable wind turbine blade.  By the end of the project in 2023, the consortium has taken up the challenge of bringing the wind energy industry into the circular economy in a #sustainable way, following the principles of #ecodesign.  Read more about the Zebra-project on the JEC Group website:  https://lnkd.in/d7Cc2QTn #circulareconomy #design #environmental #energy ",586,3.0
Hoda Rahal,"Today we highlighted eco-design products in our Decathlon store “city stars”   what's eco-design?  Eco-designing is an approach to designing products with the consideration of the environmental impacts that the product could potentially have during its lifecycle.   We eco-design our products by replacing raw materials in our run dry tshirts for example with wasted materials which are then recycled and processed and brought to you, our final   Together we aim to have 100% of our products to be eco-designed by 2026.  #design #environmental #decathlon ",587,4.0
Mirabeau Marseille,"Connaissez-vous le pôle Euroméditerranée, le quartier d’affaire de Marseille ?  Le Pôle Euroméditerranée regroupe 37 000 emplois privés, 6 500  emplois publics et a suscité l’implantation de plus de 5 300 entreprises. Directement situé sur le front de mer, il est le plus important quartier d’affaire de Marseille et favorise le rayonnement international de la ville.  Construit au cœur de ce pôle, Mirabeau en devient l’un des emblèmes. Son éco-conception et ses aménagements nouvelle génération sont des exemples pour le développement de la ville.  MIRABEAU, Business beyond the sea Contactez-nous : www.mirabeau-marseille.fr  —  Are you familiar with the Euroméditerranée hub, Marseille’s business district ?  Euroméditerranée accounts for 37,000 private-sector and 6,500 public-sector jobs and has attracted over 5,300 businesses. Located directly on the seafront, it is Marseille’s largest business district and is helping to raise the city’s international profile.  Mirabeau lies right at the heart of the hub and is set to become one of its main landmarks. Its eco-design and next-generation amenities will help shape the city’s future development.  MIRABEAU, Business beyond the sea  Get in touch with us at https://lnkd.in/epS84edX #cmacgm #bouyguesimmobilier #hwarchitecte #mirabeau #marseille #immobilierdentreprise CMA CGM Mirabeau Marseille Bouygues Immobilier HW Architecture ",588,4.0
"Cláudia Simão, PhD",Is your organization trying to  improve #eco-#innovation and eco-#design performance ?  This is a super cool  diagnostic tool to evaluate the design capacity & approaches of organizations for #circulareconomy.  The EcoDesign Audit tool was developed by Estonian Design Centre.  Check the comments to find the direct link to download the EcoDesign Audit Tool.  #sustainability #toolkit #auditing #organizationalchange ,589,3.0
Offshore Energy - Green Marine,"Norwegian container tonnage provider MPC Container Ships has ordered two 5,500 TEU wide beam eco-design vessels to improve the environmental footprint of its fleet.  #methanol #shipbuilding #maritime ",590,4.0
Caroline Mignaux,"La ""Silver Economy""  , ça sonne sexy  !  Mais pour (re)trouver un emploi avec une carrière déjà tracée....  Plus question de jouer à Pile ou Face. Les décisions ont un impact plus fort et plus global.  Et ce n'est pas lié à votre ""Mindset"". Ce sont les moeurs des autres qui vous fragilisent.  Rien de malveillant, c'est un travers inconscient qu'on nourrit tous.  Chez les Startuppers, c'est le climax.  On baigne  dans la culture du jeunisme.  Et les Stats font froid dans le dos :  ""98 % des 50 ans et + travaillent dans une structure autre qu'une start-up."" (Statista)  Pourtant, si vous cherchez du travail après 45 ans,  voici 3 avantages notoires à activer :   Vous savez prendre du RECUL et prioriser  Vous avez connu et suivi tellement d'innovations et de transitions, votre aptitude au changement n'est plus à prouver.  >> Osez postuler en Startup en parcourant Welcome to the Jungle France : votre profil sortira du lot (souvent très uniforme) des postulants !   Votre EXPÉRIENCE rassure  Les technologies évoluent, les usages demeurent. Votre expérience sera toujours un atout majeur pour ""dérisquer"" les futures opérations. À condition que vous soyez oppérationnels sur le bagage  d'outils utilisés.  >> Appuyez votre solide expérience sur la maitrise d'outils ""nouvelle génération"". Pour la plupart en accès libre : MOOCs, Academies (Intercom, YouLoveWords, Datananas, Ahrefs, Scalezia.co)   Vous avez un IMMENSE réseau  Et oui, votre réseau est un capital sous-estimé que vous développez depuis la naissance  Utilisez la force de vos relations de cercle 1 pour ouvrir de nouvelles opportunités de carrières.  La mise en relation est l'accélérateur d'embauche le plus puissant. C'est aussi le plus sécurisant pour les candidats !  >> Sollicitez des recommandations via LinkedIn pour augmenter l'attractivité de votre profil. Et téléchargez gratuitement l'application Refer pour solliciter et mobiliser votre réseau en 1 clic.    Pour finir, je vous partage un mantra utile :  On est TOUS jeunes. ... Certains depuis plus longtemps que d'autres !  C'est tout    --  Qu'en pensez-vous ? D'autres conseils utiles à partager ? Commentez comme vous le souhaitez    --    À demain !  #LinkedIn #FutureOfWork #Emploi #Startup #NetworkChallenge ",593,4.0
Yves Darnige,Kyndryl est présent au #WAICF pour rencontrer un écosystème de solutions de data et d’IA. #KyndrylFrance  peut intégrer et service manager certaines de ces technologies pour permettre aux entreprises d’industrialiser l’exploitation de la data depuis la création d’une data fabric jusqu’ au development de modèles pour répondre à des cas d’usage métiers  Sebastien Bousseton Real Wilfrid Bertrand Lengagne Didier Panse Sandrine PINEL Marie Thorigny Philippe Roncati Thomas Brackhahn WAICF - World AI Cannes Festival Nicolas Dollet Sandrine Durupt ,594,3.0
Delphine Chaligné,"Tentez l'aventure Capgemini avec AWS & CentraleSupélec Exed   Passionné.e par les enjeux du #cloud ? Accélérez votre montée en compétence grâce aux technologies Amazon Web Services (AWS) en intégrant l’Ecole by Capgemini. Un parcours de formation en collaboration avec @CentraleSupélec Exed Avec à la clé : On démarre bien sûr par :  Un CDI  puis  Un programme d’envergure  Une certification @Safe  Une certification CentraleSupélec  Vous avez déjà au moins 3 ans d'expérience IT et vous avez pu développer un savoir faire dans le monde traditionnel (Systèmes, Stockage, SGBD, Network, SAP, ...) et vous voulez ajouter le NEW IT (Cloud) dans votre parcours ? ;) Nous vous convions à notre présentation et Job Dating Mardi 05/04 à 17h (jusqu'à 20h) Inscrivez vous à l'évènement : https://lnkd.in/gyXzais7  Team recrutement Cloud à votre disposition pour tout complément d'information : Solène ZARAGOZA Benjamin Lumbroso Todelle M. Dilan Kaya Sarah FATINE Tarek Fahmy Aly B. KASSAMBARA Andréa CHALON Alison Dehaudt (Hatchi) Sarra Barnat  #EcolebyCapgemini @Capgemini  Boris RIMBAULT Eric MOYER Manon Schaegis Marie Clarous  Olivier Tarrit Cédric LE YEUC'H Xavier DUCHATEAU Lionel ChamussyMathieu Morel ",595,4.0
Bruno Giora,"Hydrogen fuel for automobiles in the daily life of city drivers.  Does it already exists in reality or is it still unattainable?  With a futuristic appearance and hydrogen powered, Fébus - as it is called - is the first 18-meter 'Bus with High Level of Service' (BHLS). Powered by hydrogen produced on-site, it has been operating in Pau since 2019.   The technological and human choices make Fébus a world first.  Fébus has the advantages of a bus since it is not forced to follow rails. Powered by clean energy, it releases zero greenhouse gas emissions, a great combination for the environment and sustainable development.  Not to mention it's extremely quiet.  An attraction and pride for everyone who rides it.  #cleanenergy #environment #sustainabledevelopment #hydrogenfuel #hydrogenenergy #febus #nouvelleaquitaine ",596,4.0
Bruno Giora,"Last week I had the opportunity to attend Professor Clément SANCHEZ's Masterclass lecture:  ""Nature: a source of inspiration for innovating in Material Science""  at the IPREM - Institut des Sciences Analytiques et de Physico-Chimie pour l'Environnement et les Matériaux.  Prof. Clément Sanchez is Professor Emeritus of the Collège de France, Chair of Chemistry of Hybrid Materials, and Professor at the Institute for Advanced Studies in Strasbourg. He was director of the Condensed Matter Chemistry Laboratory in Paris.  He had created a new school of thought in materials chemistry and opened up a new disciplinary field with both fundamental and technological impact. Was the first to develop functional inorganic-organic hybrid materials, synthesized by ""soft chemistry"" associated with ecological processing methods.   He has been able to implement many of his fundamental concepts in technologies associated with hybrid materials, applied to adsorption, catalysis, protection, waste recycling, and optics. Additionally, has published in the most renowned scientific journals, received several national and international awards, and is a member of several science academies.  I am grateful to be able to attend this conference and with that acknowledge new horizons about the perspectives of hybrid materials.  #bioinspired #materials #environment #innovation #inspiration #opportunity #science #gratefulness ",597,4.0
HCL Technologies,"HCL Technologies recently won the VMware Global 2022 Partner Value Award for helping organizations create value and grow their businesses. In the collaboration with VMware to deliver integrated solutions for global communications service providers, the #HCLCloudSmart portfolio will expand to include support for VMware Telco Cloud 5G Core and RAN. Both will develop solutions that will enable greater flexibility, speed and faster time-to-market. “This award endorses our collaborative approach, where we have worked closely with VMware to build customized solutions that have delivered meaningful benefits to our joint customers,” said Kalyan Kumar B (KK), Chief Technology Officer and Head of Ecosystems, HCL Technologies. https://bit.ly/3rxAQfP ",598,4.0
Oracle,"Get the inside track and learn how Red Bull Racing & Red Bull Technology uses our #cloud to drive race-day simulations, power a unique fan experience, and train the next generation of F1 drivers! https://lnkd.in/gbssg_iD ",599,4.0
Capgemini,"We’ve been shortlisted for two #BetterSocietyAwards!   We're nominated for our work with The Prince's Trust to improve its #FutureSteps fundraising App, and for our partnership with CodeYourFuture to open up pathways into careers in technology.   Find out more about the awards here: https://lnkd.in/e6VHfgz #CapgeminiUK #4PositiveFutures #GetTheFutureYouWant ",600,4.0
L&T Technology Services Limited,"Organizations of today need their plants to be intelligent, resilient, and sustainable. How can #DigitalTwin and #DigitalModelling help organizations navigate through the operational challenges of today?  We, at L&T Technology Services, help global organizations to future-proof their plants through our intelligent 3D Modelling and Digital Services COE. Here's a glimpse of how we can help build Digital Twins for Plant Assets.  To know more, visit: https://lnkd.in/gGs3nZf #PlantEngineering #DesignExcellence #DigitalEngineering ",601,2.0
EY,"Consumers are expecting more from retailers than ever before.  Retailers worldwide are seeking fresh ways to engage them, from contactless grocery stores to gamified loyalty programs.    So what new technologies are retailers investing in? Are new business models needed to meet consumer needs? And what can businesses do to improve their digital strategy?  Discover the answers: https://lnkd.in/dH-N7WE7 #ReframeYourFuture ",602,4.0
Thales,"How improved efficiency in Thales' high-power laser technology could revolutionise fields from cancer treatment to clean, waste-free energy  Discover more: http://thls.co/i7IX50IICE5 #HighPowerLaser #LaserTechnology #ThalesInnovation ",603,2.0
EY,The ultimate solution is to provide a synergetic blend of people and technology. The future of advice will see wealth and private banks develop platforms that incorporate sophisticated digital assistants alongside tech-enabled remote advisors. The effect will be to transform advisor performance and client satisfaction while lowering cost to serve. Read our article for more insights: http://spr.ly/6044K2PP8 #BetterWorkingWorld ,604,4.0
Capgemini,"Video-based solutions for the connected car that manages safety bring many advantages for drivers and passengers. While video continues to evolve safety features in the connected car ecosystem, video analytics creates even more value by enhancing safety and surveillance. Click the link to download the insightful whitepaper on ""Making the Case for Video Edge in Connected Car"" by Vijay Anand, Assistant Vice President, Technology and Chief IoT Architect, Capgemini Engineering: https://bit.ly/3LRaTiY #ConnectedCars #CapegeminiAcesInnovation ",605,3.0
Microsoft,"Watch Aashish Kshetry, VP Information Technology, Asian Paints and Manish Gupta, Group Chief Information Officer, Aditya Birla Group, as they discuss the future of manufacturing operations and how IoT, AI, and mixed reality can offer operational insights, at Microsoft #FutureReady Industry Week.         ",606,3.0
Harvard Business Review,Steps to introduce smart tech within your own organization.          ,607,4.0
Atos,"Learn how MDR/XDR have raised the game of #Threatmanagement on the detection & response front.   From point solutions to multi-vector hybrid AI powered plateforms, the technology supporting this essential security function is making it possible to manage today's threat landscape at the adequate effectiveness and scale  http://spr.ly/6045KN9Df #Trendsetters #YourExpertVoice #podcast ",608,4.0
Edenred,"[#Edenportrait] Discover the career path of Diane Aumond, Project Management Officer, at the Edenred e-Quarter.     Who are you?  I’m Diane, I work at the e-Quarter as Project Management Officer (PMO) for Salesforce and the Global Business Apps department within Global Technology. I love the peacefulness of great outdoors as much as the effervescence of big cities, travelling, discovering new places, and simple occasions with family, friends and good food (the best is Vietnamese in my unbiased opinion). Also, you can contact me if you need a dog-sitter!      What has been your career path at Edenred?  I joined Edenred in 2019 as Consultant, I have been working as PMO for Salesforce since the beginning. Then, when I joined the company in March 2021, my PMO activities were extended to Global Business Apps department.     What is your main role today?  I have two main missions:  For Global Business Apps: to synthesize, communicate on the department’s projects’ portfolio, and harmonize information of the various teams for transversal projects.  For Salesforce: to follow-up Salesforce Global program with the Team Leader and monitor projects progress      What is your guilty pleasure?  Online shopping, but without shopping. Concretely, just putting things in wishlists but never buying them. Weirdly, there’s something entirely satisfying about it.      What makes you wake up in the morning?  I’m not a morning person, so 4 alarms, inspirational podcasts, and knowing I have a thousand things to do that I won’t be able to achieve if I stay in bed.      What is the song you just can’t stop listening to these days?  There is a light that never goes out – The Smiths      In 3 words max, what makes you vibe at Edenred?  The multicultural environment, team spirit, and challenging projects         ",609,4.0
Deloitte,"We are growing! #WorkWednesday    We are now looking for new professionals to join our teams. Are you the one?   Senior Consultant / Manager, Human Capital  Sote-uudistuksen transformaatiokonsultti  Analyst / Senior Analyst, M&A Transaction Services   Manager, M&A Transaction Services   Digitaalisen transformaation strategiakonsultti   Tax-focused SAP and tax technology Consultants   Junior Business Designer   Technology Strategy & Transformations Senior Consultant / Manager   Technology Consultant   Threat Hunter  At Deloitte, you don’t have to guess where you stand in your career path. This is because we help each other to develop by giving and asking for feedback regularly. Our leaders are very hands-on in their pursuit in inspiring and sparring you to bring game-changing value to our clients. Your expertise is our capability, so we’ll make sure it never stops growing. Does this sound good to you? Then check out our open positions and apply  https://deloi.tt/3rmwgRD #deloittefinland #rekry ",610,4.0
IBM,"IBM STEM for Girls ""Women Wednesday: Learn from Leaders,"" a video series to allow youth, especially young women, the opportunity to realize their own future potential.  Please join Deb Pimentel, Technology Sales Leader at #IBMCanada as she shares life-defining moments, helpful career advice, and encouragement for students just starting out in their careers: https://ibm.co/3jF4iMB #WomenInTech #SkillsBuild ",611,4.0
EY,"Join Kavi Pather, EY Africa AI and Advanced Analytics Leader as he addresses the #1 voted most concerning AI advancement and more in the EY-Microsoft sponsored Leading with Technology podcast series.   Watch now: https://lnkd.in/gMDETmSW ",612,4.0
Deloitte,"Czy trzeba umieć programować, aby rozpocząć karierę w IT?     Tego i wiele więcej na temat pracy w Konsultingu Technologicznym i Zarządzaniu Ryzykiem dowiesz się z nowego odcinka podcastu #ImpactStories.   Rozmowę prowadzą ambasadorzy studenccy #Deloitte – Karolina R., studentka Warsaw University of Technology i członkini Koło Naukowe Informatyków oraz Erasmus Student Network Politechnika Warszawska (ESN PW / WUT) i Piotr Gul z Politechnika Rzeszowska im. Ignacego Łukasiewicza, który aktywnie działa w Samorządzie Studentów Politechniki Rzeszowskiej oraz Machine Learning Student Association, Rzeszow University of Technology.   Ekspertami, którzy podzielili się swoją wiedzą na temat tego, co robić już na studiach, żeby wyróżnić się na rynku pracy oraz jakie możliwości kariery czekają na Ciebie w obszarze nowych technologii, są Lan Anh Do, UX Designerka w Deloitte Digital oraz Damian Wojciechowski, Starszy Konsultant w dziale Zarządzania Ryzykiem.    Chcesz rozwijać się w działach Konsultingu Technologicznego lub Zarządzania Ryzykiem?   Wszystkie informacje oraz aktualne oferty praktyk znajdziesz na stronie  https://lnkd.in/eT_Ckrik   Podcast Impact Stories znajdziesz również na: Spotify: https://spoti.fi/3EhbXKr Apple Podcast: https://apple.co/37bl8QG ",613,4.0
Fujitsu, ERP modernization. The last piece in the modern manufacturing puzzle? Discover how you can only achieve truly sustainable manufacturing if you have the right technology at the heart of your business. https://okt.to/Ba8kR5 ,614,2.0
Deloitte,Teaming with an #AIStartup often comes down to an elusive “X-factor.” Learn more in this #DeloitteAIInstitute report.          ,615,4.0
IBM,"Today’s remote working has been implemented in various sector, and cybersecurity became essential factor for company.   IBM recent study on Cost of Data Breach stated that healthcare industry recorded to have a loss globally compared to other on cybersecurity.   Read more the interview with Cin Cin Go, Technology and Country Leader IBM Indonesia as published by Medcom here: https://ibm.co/3uE3qhG #IBMIndonesia #Aseanzk #cybersecurity ",616,4.0
Sopra Steria,We surveyed 100 technology decision makers involved in their organisation’s collections process to find out what is really holding them back from achieving their organisation’s Debt Management objectives.  Read the report > http://ow.ly/73Tx50IIZPj ,617,4.0
Microsoft,"Improving well-being at work is a team sport, and adopting a healthy culture is at the heart of it  At Microsoft, we believe in addressing this challenge by focusing and leveraging on People, Space and Technology    Find out how: http://msft.it/6042wNztE #WellBeing #EmployeeExprience ",618,4.0
Atos,"[NEW JOINER ]    We are pleased to welcome Nathan Foster to the Atos team in Perth.   Nathan joins our Atos team in Perth as a Service Delivery Manager after a comprehensive career in the ICT sector, transitioning most recently from systems analyst roles to more technical and business specific analyst roles. Driven by the pursuit of success, Nathan is a team player who looks forward to helping others realise their potential. He is passionate about travelling and remaining up to date with innovations in technology and automation.   Welcome, Nathan. It’s great to have you as part of Team Atos.    #WeAreAtos #TheFutureIsOurChoice    Find out how you can start your career at Atos here: http://spr.ly/6047Kfusd ",619,4.0
HCL Technologies,Social responsibility is an integral part of any sustainability vision. We strive to create meaningful impact through partnerships and collaboration. This includes the work done by HCL Foundation. Read more about this in our sustainability report: https://bit.ly/3wwajmb #HCLTechSustainability #UNSDG #SDGs United Nations Sustainable Development Group ,630,2.0
HCL Technologies,HCL Technologies' MVision framework is built for organizations preparing for the hyper-connected future. Download the brochure: https://bit.ly/3Ikivse ,631,4.0
Capgemini,"Are you ready to work on a solution that will predict the movement of wildlife?  We are glad to support the Telangana AI Mission (T-AIM) - a Forest AI Grand Challenge, launched by the Govt. of Telangana & NASSCOM which is a great platform for tech startups to share their revolutionary ideas. Apply here: https://bit.ly/37PDDKi #GetTheFutureYouWant #4PositiveFutures Emerging Technologies Wing, Govt. of Telangana ",632,4.0
