author,content,doc_id,note
Shipra Gill,"Infosys Large Deals team Hemant Lamba and twoHundred hosted the delegates from CIO community in Sweden, in a CIO Executive Connect event at Stockholm earlier this morning.   We would like to thank Petra Alund, Head of Group Technology at SEB to share knowledge and insights on digital transformation and legacy modernization journey of SEB.   Thank you to the Infosys leadership team Jay Nair Ambeshwar Nath Marcus Strömblad to host the delegates and Ruchir Budhwar to share Infosys strategy on how we are helping out customers modernize their IT landscape.   Most importantly, thank you to the Two Hundred  team to help put together this fantastic event and we look forward to our collaboration in other markets.  #CIO #digitaltransformation #legacymodernization #infosys #navigateyournext #nordicsthenextbigbet #sweden ",741,4
,,742,4
Theo Smith,"My bright shiny new HR/Recruitment technology doesn't discriminate! - Tell me more? It has an algorithm that doesn't discriminate against Gender or Race!  - What about disability? Sorry?  - What about disability? I don't know about that!  - Who built the tech? How diverse is their tech team? Any women for example?  I'm afraid I don't know  - Who are the investors in the company, and what are their interests? Silence...  As buyers of technology looking to solve some of the greatest challenges of our time, there are questions we have a responsibility    to ask!  Do you know what they are?  Are you asking them?  #Neurodiversityatwork #Neurodiversity #Recruitment ",743,4
Stuart Waddington,"On today's episode of #Leadership - What's on your mind? I speak to Chris Gore MBA.  Some info on Chris:   ☆ Chris is Director and Co-Founder of SPOR Group.  ☆ An innovative workplace technology brand, built to transform the way that organisations connect, collaborate and communicate on a global stage.  ☆ SPOR specialise in workplace technology they work with clients to design, supply, integrate and then service/support their workplace technology solutions across their estate.   Chris speaks on working in the corporate world, leading/building a team & hiring the best in the industry.   A fantastic episode with lots of value.  Looking to LEVEL UP your leadership journey?  Then this is the podcast for you.  ADD VALUE to your journey with 20 minutes of bite-sized knowledge in each episode.  Link to Chris’ episode below  #leadership #leadershippodcast #podcast ",744,4
Romans International,"Feeling those Bank Holiday Blues? We are too ️  New into stock - Porsche Taycan Turbo in Gentian Blue with Chalk Beige & Black interior. Always good when you have an electric car to have a cabin filled with technology and convenience features and this spec has an extensive list of options. Head up display, night view assist, surround view, adaptive cruise control and advanced 4-zone climate control just to name a few.  Thinking of adding an electric car to the fleet this year and enjoying the many tax benefits and low running costs? The Taycan should be the top of your list.  ———————————————  Full Details:  https://lnkd.in/e7_ZNwbm  ————————————————  #TaycanTurbo #GentianBlue #PorscheTaycan ",745,3
Guangxin (Gary) Li,First UPIC international student (AUT foundation) back to NZ since 26 months! We witnessed the remarkable monment at Auckland airport and brought our little love- the UP goodie bag! Let’s check out what’s inside!   #internationaleducation #auckland #AUT #UPeducation Craig Jones Craig Monaghan Tim McFarlane Wade Johnson Chris Kelso Richard Kensington Andy Jia Tiffany Lee HANYU ZHANG  William Ho Professor Guy Littlefair Auckland University of Technology UP Education ,746,4
Delphine Trabaldo Togna,Looking forward to this new partnership between Swiss Finance + Technology Association (SFTA) and Board Owl          ,747,4
,,748,4
gigaaa,"Technology has a price, but what it can do for humanity is priceless.  Click ""Follow"" for more technology innovations.   #truestory #emotions #happinessisachoice ",749,4
Zara Zamani,"99% of European economy is built by Small and Medium Enterprises (SMEs) This makes adoption of technology in SMEs extremely critical to EU. Yet, Scientific literature rather focuses on big organizations while studying technology adoption.  But that is not all, the technology and its nature has evolved enormously over the past decades, yet the latest revision of technology adoption theories and frameworks come from 90s.   What does all of these mean for SMEs and what do they actually look into while adopting a new technology?  This is actually what I answered in my latest published article in European Journal of Innovation Management.  You can find the article here:  https://lnkd.in/dVtNW-Br #technologyAdoption #SMEs #technology #management #innovation ",750,3
Andreas Wramsmyr,"Incredibly proud of the company we are building: the product, the technology, and most of all, our great team, all over the world.  This IS Adnavem!  #digitaltransformation #digtialsupplychain #smarterlogistics ",751,4
Dinda Maritho Siahaan,"First experience joining a seminar organized by PT. KAYREACH SYSTEM   ""Reimagining The Future Workspace With Zoom""  PT. Kayreach System is Zoom's official partner in Indonesia. Wow! This company really helps us during the pandemic to stay in touch and be productive even though we work from anywhere with zoom.  Many technology solutions from PT. Kayreach System.  For more info u can check PT. Kayreach System's official account  PT. KAYREACH SYSTEM Zoom    Thankyou.  #experience #technology #indonesia #zoom #future #work #kayreachsystem ",752,4
ZEE - Technology & Innovation,"Our first town hall: The coming together.  Trust, Transparency and Teamwork.  Our first town hall today was a profound attempt at keeping conversations and communication open and transparent. “While our Tech and Innovation Centre is just a couple of months old, we come from a long line of media house that cherishes and values teamwork, transparency and trust” were the opening words of Nitin Mittal , our President. The Leadership team welcomed its people to the sprawling new office in Bellandur, Bangalore, with this simple yet powerful framework for creating new standards in the media and entertainment industry by leveraging technology.  Amrit Thomas - Chief Data Officer; Bhushan Kolleri - Chief Product and Innovation Officer; Kishore A K - Chief Technology Officer; Nimisha Anant - Chief of Staff; Cdr Praveen Kumar - Chief Information Security Officer; Vatsal C. - Head of Design, and Vishal Somani - Head of Enterprise Information Technology candidly shared their vision & ways of working for the future of ZEE.  #ZEE #ExtraordinaryTogether #ShapeTheNext #Technology #Inovation #TeamZEE #Culture #People ",753,4
Kelly Common MRCSA,"Shout out to Singapore based Recruitment Tech Consultants, Salt Singapore is hiring!  If unlimited career opportunities are high on your wish list, Salt delivers.  Within 2.5 years Sabrina Zeddam took steps on our career pathway, Consultant to Senior Consultant to Practice Lead.    If you'd like to chat about #lifeatsalt, DM or email me kcommon@welovesalt.com  In the meantime, check out our opportunity for Senior Consultant - Technology  https://lnkd.in/giS_ve-Z #salt #creatingfutures #singaporejobs #globalagency #recruitmentlife #hiring #careerprogression ",754,4
Dancerace plc," We were delighted to be shortlisted for 'Factoring Technology Solutions Provider of the Year' at this year's RFIx.   Our nomination recognises the awesome, inspired hard work of each of our team:   Alan Balfe  Alexandra Barnett  Alexis Barresi  Anurag Paranjape  Ayeisha Harding  Alison Lawrence  Ben Dishman  Chris Coleman  Callum Dunbar  Callum Thomas  Chris Walthall  Clifton Weeks  Dean Clay  David Cook  Darren S. Eyers  David Heyes  Drew Jennings  Duncan Kew  Edward Sweeney  Elliot Avison  Fiona Haffenden  Howell Duggan  James Greaves  Joanna Stewart  Kevin Tran  Louisa Templeton  Matt Gordon  Martin Hyne  Malcolm Spence-Herbert  Simon Lyne  Terry Horner  Fingers crossed for awards night!  Newable BCR Publishing TechSPARK uk #fintech #innovation #southwestuk ",755,4
Manning Global AG,"New remote role! Our client, a leading global Telecoms company, is recruiting a MOBILE/TRANSMISSION ROLLOUT PLANNING COORDINATOR! Send your CV to sales@manningglobal.com  Skills needed:   ● Technical training in construction, electrical or telecommunications technology  ● Flexibility and high sense of responsibility  ● Professional experience in construction management or coordination of smaller construction projects  ● Basic knowledge or professional experience in the mobile or telecommunications industry  ● Computer skills needed  ● Good written and spoken German and English skills  ***For this particular role you must be eligible to work in the EU. Please see ManningGlobal.com for our full list of global roles***  #Telecoms #Networks #Rollout #Mobile #Construction ",756,4
"ProTech Recruitment Ltd - Science, Technology, Engineering and Manufacturing Recruiter","ProTech Recruitment Ltd have today announced their transition to employee ownership with effect from 11 April 2022.  The shareholders have transferred 100% of their shares to an employee ownership trust (EOT) for the benefit of its 14 employees.  ProTech, which was founded in 1988 and specialises in the scientific, technology, engineering and manufacturing sectors, was 60% owned by Managing Director Antony Cox - who bought the company in 2003 as part of a merger - and 40% by Director Roman Motyczak.  Antony and Roman had started to think about succession planning a few years earlier, ""mindful of the fact we're not getting any younger"".  Before the pandemic struck, ProTech had been growing ""fairly steadily"" at an average rate of 20-25% a year, but Antony admits Covid ""set us back five years and got us thinking about other ways of exiting the business"".  He says a referral from a member of the Employee Ownership Association (EOA) opened their eyes to the ownership model and set the ball rolling.  Antony said: ""We found out that neighbours in our building, Blizzard Group, had transitioned themselves into an EOT in 2020 and I was talking to them and thought 'actually, that's worth investigating'.  ""That got me thinking, 'if they've done it, could we do it?' That's how it all started, in terms of the idea of it as a possible exit route, and from there two directors of Blizzard gave us the inside track, which was really useful.  ""It was a good choice for us, probably being too small for anyone to be interested in buying us as a commercial sale. Furthermore it gives our people complete control over their future, which is the opposite of what a commercial sale would bring.""  ProTech, which provides skilled people on both a temporary and permanent contract, appointed EOA supporter members Baxendale Employee Ownership to steer it through its employee ownership journey.  Director Roman says Baxendale made the whole process ""low impact and straightforward"", revealing its advisers visited the whole ProTech team around a month before transitioning to make the internal announcement.  ""It helped having a third party come in and make that announcement, to talk about it conceptually and then we were able to follow up and field questions,"" said Roman.  ""It gives those people that have worked with you, particularly over the two years of Covid, a chance to own the business and benefit from it.  ""In our minds, it was that duty of care by them benefitting after we have sold the business, whereas if we'd sold to a third party they could have had their own plans and before you know it the business has disappeared and all the staff have gone and we would have felt quite guilty.""  To read the rest of our announcement please click the link in the comments.  #EmployeeOwned #EOT #EmployeeOwnership ",757,4
,,758,4
Ammonia Energy Association,"Shades of blue ammonia: Europe  Next week we kick off our brand new Project Features webinar series! Join us on Tuesday 26 April @ 2PM CET for an in-depth look at the potential of blue ammonia production in Europe. Horisont Energi CEO Bjørgulf Haukelidsæter Eidesen will take us through key aspects of the Barents Blue project, before Clean Air Task Force Technology & Markets Manager (Carbon Capture) Toby Lockwood joins to discuss the potential landscape of blue ammonia production across the continent. Register below, and send through your questions for our guest speakers in advance.  https://lnkd.in/gh3Gp7HK ",759,3
PE Global,"Best of luck to Altada Technology Solutions , Spearline and LSC, Life Science Consultants in the upcoming Cork Chamber Company of the Year Awards https://lnkd.in/esajD2cS ",760,4
Merck India,"Here's sharing glimpses of hands-on training on Recombinant DNA Technology, successfully conducted by Merck High-End Skill Development Centre, CSIR-IMTECH, Chandigarh.  16 students (Pharmacy) from the University of Petroleum and Energy Studies (UPES), Dehradun, participated in this training program comprised of lectures from experts and hands-on sessions followed by a quiz.  We congratulate all the participants!  Neeraj Mahindroo Ankur Gautam Pankaj Joshi Kirthana M.V. Sindhe, PhD, sMBA         ",761,4
Gopalakrishna Ramaswamy,"We have COOL technology and looking for COOLER Business Development Managers: Creating a new business for leading-edge technologies is not an easy job. But talented persons can do this. We have done this earlier in India. And ready to do once again with #nanostring GeoMx #dsp. We have openings for 3 Business Development Managers in the West, North, and East parts of India. #bdm. Rush your CV to hrcues@theacues.com. #job #technology #theracues #nanostring #cv #salescareers #businessdevelopment ",762,4
Philip Varughese Vayarakunnil,"Hiring Security Leaders at all levels for DevOps, DevSecOps, Ansible, Cloud Security at DXC Technology. 10-15 years of experience with 3-5 years of relevant experience in any of the above areas.  Inbox your profiles, if you have the relevant experience and want to join a world class & elite Security unit. We are scaling and more opportunities to follow. Stay tuned.   Rashmi Chandrashekar DXC Technology #jobs #career #opening #security #cyber #cloudsecurity #ansible #devops #devsecops ",763,4
Chris Wallace,"All set up and ready for Hydrofest at The Chester Hotel.  Thanks to the The Hydrographic Society in Scotland for allowing us to showcase MacArtney Underwater Technology Group's  latest Underwater Technology.  Looking forward to an educational day learning more about survey, hydrography and what the future holds.  #hydrography #conference #underwatertechnology #survey #learning ",764,4
Endress+Hauser Group,Last week we had the first Raman training and workshop organized by the Process Analysis Support (PAS) – APAC team at the Endress+Hauser Singapore office. A first for this team in the APAC region! #teamwork   What a memorable event for all the 35+ attendees from our Asia offices! #excited #charged #networked #inspired were some of the collective impressions at this two-day intensive Raman Training covering focused applications for Endress+Hauser Optical Analysis technology offering – Raman Spectroscopy.   #raman #lifesciences #chemicals #oilandgas #pharmaceutical #biopharmaceutical #endresshauseroa #opticalanalysis ,765,4
Adam Gordon,"How the other half live! I've not worked for a large org since 2007 and while I've worked with plenty as customers, this is eye-opening and exciting.  I've now got all my iCIMS systems set up and am working my way 'socialising' around the business. The luxury of the systems I now have access to and teams I can work with to make things happen is amazing. I have access to data which helps me do my job better. I have teams who can help us do things we couldn't previously.  It's not a one-way street of course. In return.. we've brought marketing automation, the most exciting development in #talentacquisition technology in years, to iCIMS so we can together take it mainstream.  I'm enjoying this!         ",766,4
Jessica Chen - Keynote Speaker,"Over 1 million people trained!   We bring world-class communications training to organizations like yours so they can better communicate and engage with clients and team members.   Our training isn't just a presenter teaching. It's a holistic approach with 3 steps:  1) Instructor-led training  2) 1:1 private communications coaching for each team member 3) Online e-course learning  The art of learning isn't just one way.   We build our communications training using a mix of in-person and technology. It's why our training is so effective.   To learn how your team can benefit from our communications trining, contact: hello@soulcastmedia.com.  --  #soulcastmedia #communications #training #linkedin #innovation #management #humanresources #digitalmarketing #technology #creativity #future #futurism #entrepreneurship #careers #markets #startups #marketing #socialmedia #venturecapital #leanstartups #economy #socialnetworking #economics #motivation #jobinterviewing #money #personaldevelopment #linkedinlearning #linkedinlearninginstructor #hiring #bestadvice #publicspeaking #presentation #team #learning #people #coaching #like #art #teaching ",767,4
Grimshaw,"For the first time since the pandemic, Monash University has returned to full in-person learning and the Woodside Building for Technology and Design is animated with hundreds of students using the transformation learning spaces of the new premises, many for the first time.  We visited last week to capture the vibrancy of campus life for the next generation of engineers and information technologists who are learning here, the largest Passive House education building in the world.  In 2021, the Woodside Building was the recipient of multiple Australian architecture and sustainability awards, including the highest honour: the Sir Zelman Cohen Award for Public Architecture and was included in the virtual exhibition “Build Better Now” at COP26 - UN Climate Change Conference.  Photo: Peter Bennetts #MonashUniversity #Passivehouse #Melbourne #Australia #architecture #education ",768,4
Dr Agata Slater,"Something nice happened over the weekend. I received a bottle of wine from friends who were visiting me. While that’s pretty nice in itself, what cheered me up even more was that the bottle was #blockchain #certified.   My friends do not know much about what I exactly do for a living so the choice they made in the store was not about pleasing me. When I asked about what made them buy this particular type of wine, they mentioned that (apart from the general wine preferences), they liked that there was some sort of quality #certificate on it, and that they could interact with the product via the #qrcode (without knowing at all what “blockchain” meant).   After scanning the QR code, the consumer sees but a full account of the wine’s DNA: when and where the grapes were harvested, how the wine was treated – for example the quality of the sulphites – the bottling date, lot number and more. This information is based on #data captured during each stage of the wine making process, and recorded into a blockchain.   This is a wonderful, real-life example of a consumer choice being influenced by product #quality. This is very much in line with CarrefourSA observations that #blockchain tracking can boost #sales of some products:   https://lnkd.in/dYuVMcXM   For me, it also also very rewarding to see the impact of blockchain technology right in front of me. This is a real story btw!   And kudos to #CasaGirelli wine makers for caring about their consumers and helping them make informed decisions about purchases.  #blockchain #provenance #trackingsolutions #traceability #sustainabilty #consumercentric ",769,3
Mazda Motor Europe,The Mazda Motor Corporation has held a ceremony marking the start of mass-production of the all-new Mazda CX-60 crossover SUV at Hofu Plant No. 2 in the Yamaguchi Prefecture on 18th April 2022. Mazda’s new flagship introduces the company’s first plug-in full hybrid technology to the European SUV market and represents everything that has built into its DNA over the last 100 years. #Mazda #CX-60         ,770,4
The Times of Israel,"The cultivated meat consortium includes 14 companies, including Aleph Farms, SuperMeat, Tnuva and Seevix Material Sciences (makers of synthetic spider silk), and 10 academic and research institutions like Tel Aviv University, the Technion - Israel Institute of Technology, and Reichman University (IDC Herzliya).  The Good Food Institute Israel, Gaya Savyon, Alla Voldman Israel Innovation Authority רשות החדשנות Shay Cohen #foodtech #culturedmeat #Israel #tech #cultivatedmeat #foodsecurity #innovation #food ",771,4
Prangya Nibedita,"Happy to share that I have completed ""C++"" Stream Training and assessment in the Tech Expressway program at Accenture.  Thank you, Accenture in India for giving all the support and learning environment.  Accenture Technology  #C++ #accentureindia #learning #training #tech #technology #environment #india #thankyou ",772,4
Nombuso Magagula,A Btech: Information Technology (Communication Networks) graduate         ,773,4
Ahmad Daleen,"Thanks for providing a good education platform, so that we managed to launch Deemples successfully  Limkokwing University of Creative Technology #technology #university #startuplife #golf ",774,4
Vitor Hugo - Coordenação e Gestão de Projectos S.A.,"PROJECT VHM // Escola Superior de Tecnologia e Gestão  O projeto consiste num novo edifício de investigação da ESTG, que faz por sua vez a articulação entre outros equipamentos existentes na propriedade. Do ponto de vista da conceção arquitetónica, o desenvolvimento do projeto centra-se em várias premissas principais, que muito envolvem a integração do edifício no tecido urbano, a sua articulação com a topografia e a vivência do utilizador. A volumetria é a imagem de marca do edifício. Este apresenta-se como um monolítico esculpido, inspirado na “máquina”, assumindo-se por uma forma irreverente, espontânea e veloz, conferida pelos seus ângulos retos e formas distorcidas, pretendendo assumir-se como um objeto de destaque da cidade, um marco dinamizador. Neste sentido, o edifício insere-se no centro do seu terreno, liberto das construções envolventes, de forma a ser também observado, de mostrar a sua forma e volumetria, desenvolvendo-se voltado para a paisagem ao redor, com a inserção de vários pontos de interesse e de permanência.  Technology and Management School  The project consists of a new research building for the ESTG, which in turn provides the connection between other existing facilities on the property. The architectural conception approach is centred on several main premises, which greatly involve the integration of the building into the urban context, its articulation with the topography and the user’s experience. Volumetry is the building’s brand image. It stands as a sculpted monolith, inspired by the “machine”, adopting an irreverent, spontaneous and swift shape, conferred by its right angles and distorted outlines, with the purpose to be a prominent object of the city, a dynamic landmark. As such, the building is located in the centre of its site, free from the surrounding constructions, so that it can also be observed, show its shape and volumetry, and evolve towards the surrounding landscape, with the insertion of several points of interest and permanence. #vhm #project #building #technology ",775,4
CoinMarketCap,"Crypto billionaire Sam Bankman-Fried says he would be 'excited' to help Elon Musk transform Twitter — and blockchain technology could play a big role  https://lnkd.in/dTeeHc5V ",776,4
Thierry Mortier,"Is #wireless #EV charging ️ the future for dense urban areas? Such a great experience to see this at work in #Oslo on DAY1 of or #EY #Norway  exploration tour.  Early days of course: rather expensive and technology implemented through retrofits at this stage. Very promising at the same time, with no kerbside infrastructure and potentially smaller car batteries  and cheaper EVs .  #MomentumDynamics ",777,3
Declan Burke,"Like many technology professionals, my career has moved into the world of cyber risk and information security.  For me, this presents an opportunity to make a real difference, knowing that the threat from cyber criminals is more significant than ever.  The CISM covers the key pillars required to mature an organisations security posture.  I'm grateful to Laura Linturn and The Standard P&I Club for investing in my continued professional development.         ",778,4
Jayesh Gohel,"Successfully Completed data science for engineer. #datascience #technology #engineer   Thanks Indian Institute of Technology, Madras ",779,4
Lindsay Hall,"I have recently left KPMG after 5 years in Technology Consulting. I decided it was time for a change. I'm currently taking a break whilst completing a leadership coaching diploma. I'm really excited about the challenge ahead and spending some time thinking about what the next stage of my career looks like. I really enjoyed my time at KPMG, where I learnt a lot and worked on some interesting (and some tough) projects. Most importantly, I met some great people, who've provided me with support and friendship for which I'm very grateful.         ",780,4
BG Consulting Engineers,"Existe-t-il un modèle Suisse de Smart City ? Ces dernières années, l'engagement de la Suisse en matière d'#écologie a été récompensé en s'illustrant dans de nombreux classements internationaux. L'#innovation dans les #smartcity Suisse a-t-elle contribué à ce classement ?         ",781,4
Pascal Parent,"U2P de l'Ariège, CAPEB CNATP Ariège, ATIS.cloud, Leica Geosystems part of Hexagon, AutoDesk, Académie de Toulouse, Campus des Métiers et des Qualifications d'Excellence BTP et usages du numérique, Emmanuel Di Giacomo, Nicolas Volic, Vincent Perez, #energie3dconstruction, #bim, Envirobat Occitanie, ADN CONSTRUCTION - PLAN BIM 2022 ",782,4
Martin BOUVRON 🐺,"[#Metaverse]  Après un peu moins d'un an de disponibilité en accès anticipé, l'Unreal Engine 5, nouvelle itération du moteur de développement 3D temps réel d'Epic Games, est désormais officiellement disponible pour tous.   Petite piqure de rappel pour les startups qui ont tout intérêt à s'intéresser à cette technologie qui monte. Au risque de manquer de belles opportunités, mais surtout de passer complétement à côté de la révolution qui s'annonce.         ",783,4
Antoine GREGO,"Comment combattre efficacement le paludisme ?  Cette semaine dans la newsletter :  𝐋𝐞 𝐩𝐨𝐝𝐜𝐚𝐬𝐭 Demain & Durable     Dans l’épisode du jour, je souhaitais vous repartager le parcours et les ambitions de Franck Langevin. Après avoir travaillé dans le monde de la tech, Franck a décidé d’évoluer drastiquement et de s’envoler au Burkina Faso pour rejoindre Gerard et fondé MAÏA Africa.  Leur objectif : réduire la mortalité due au paludisme grâce à leur pommade. Un échange qui m’a fortement marqué il y a plus d'un an, et qui j’espère vous inspirera également.  Mais également :   𝐋’𝐚𝐜𝐭𝐢𝐨𝐧 𝐝𝐞 𝐥𝐚 𝐬𝐞𝐦𝐚𝐢𝐧𝐞 : Prendre soin de sa TV  Une TV émet en moyenne 200 kg de CO2 lors de la fabrication, et 156 lors de son utilisation ! Il est nécéssaire de comprendre l'impact de la TV et comment limiter son impact avec quelques conseils et notamment le partage d'une étude HOP // Halte à l'Obsolescence Programmée sur le sujet que je vous recommande !   𝐋𝐞 𝐜𝐡𝐢𝐟𝐟𝐫𝐞 :1er Janvier 2023  La bonne nouvelle de la semaine, c’est le décret sorti le 14 Avril dernier sur le greenwashing qui oblige les entreprises à publier leurs démarches d'atteinte à la neutralité carbone. Malheureusement pas suffisant car le champ d'application reste trop grand. Pour aller plus loin je vous recommande de taguer Alerte Greenwashing ou Pour un réveil écologique si vous voyez une pub faisant preuve de #greenwashing   𝐋𝐞 𝐜𝐨𝐧𝐭𝐞𝐧𝐮 : Les métaux rares    Depuis que je dois rechercher chaque semaine un contenu à vous partager, je me rends compte qu’Arte est l’une des seules chaînes avec autant de contenus sur l’environnement (je suis donc devenu fan d'ARTE). Dans un format 5 minutes, les formats “Data Science” permettent de mieux comprendre différents sujets. Aujourd’hui, je vous propose de parler donc des métaux rares !   A mardi prochain !  #newsletter  #impactpositif #ecologie #paludisme ",784,3
Unitel Group,La protection des données dans le cloud devient de plus en plus importante.  Voici les solutions à repenser en amont.   #cloudsecurity #data #cybersecurite ,785,4
Netinvestissement, Quels sont les 10 meilleurs placements de 2022 ?  Réponses dans cet article          ,786,4
Imed BEN RHOUMA,"Une entreprise ne peut plus innover seule. Elle court le risque de prendre davantage de retard. S’appuyer sur des partenaires porteurs d’innovations permet d’aller plus vite dans la création de valeur que de le faire seul. Et lorsque cette valeur est créée, produite et délivrée beaucoup plus librement on est dans de l’Open Innovation en Marque Blanche #openinnovationmarqueblanche. Elle permet, au demandeur, d’accélérer le go to market de son usage innovant, tout en garantissant au porteur la totale maitrise de son innovation.         ",787,4
Pascal Marrant,"L’amour est doux comme une onde divine, un mot parmi tant d’autres, et parfois, il apparait surgissant de nulle part et votre être tout entier est foudroyé en un instant. L’amour submerge pour papillonner en pampilles soyeuses, un feu d’artifice où j’ai simplement ajouté un des bijoux Baümer pour le faire glisser vers l’authenticité, la sincérité, et la fidélité. Je vous parle de celle de mes rêves les plus enfouis, de cette femme au bord du paradis de mon cœur qui m’ensorcelle le jour et qui la nuit comme la déesse minerve illumine mes nuits des feux de l’enfer. Doux bijoux que tu portes sur toi, qui avec tes yeux bleus, comme le ciel, réchauffent ma vie de caresses enrobées de douceur. En recevant ce présent, je marche sur la voie lactée qui baigne dans ton âme et brille à jamais à travers les cieux. Je me demande, chaque jour, chaque nuit, comment font ceux qui n’ont jamais eu prés d’eux, ni ton sourire ni ton regard. Si la haine est la nécropole de l’âme, l‘amour est l’expression du cœur, et pour une juste compensation, une boucle d’oreille du battement de mon cœur Baümer vient sceller celui-ci à jamais. F https://lnkd.in/dKkjChku ",788,4
Anne idride de Saudium,"A MICHEL QUI AIMAIT TANT MES TEXTES  Tu étais le plus reconnaissable de nos acteurs Français, et c’est moi qui vais te rendre aimable, toi l’homme de « La femme infidèle » si froid et si machiavélique. Tu planais en apesanteur les yeux brillants, pleins de candeur, et de subtilité, bouche en croissant au beurre pour jouer « Le Colonel Chabert ». Ce soir, je broie du noir car je viens de perdre ton au revoir, et j’ai les mains moites, les mêmes, que ce chef d’entreprise haïssait, si bien modelé dans « Le Jouet ». Voici mes cortèges de larmes qui tombent, et je suis pétrifié par cette nouvelle. La gorge serrée et le cœur battant, je voudrais une dernière fois voir ton sourire, même si celui-ci doit me coûter ma fortune, car il enrichira ceux qui le recevront, sans appauvrir celui qui le donne. Ton souvenir restera éternel, et personne n’est assez riche pour s’en passer ni assez pauvre pour ne pas le mériter. Tu créais le bonheur dans les foyers et tu étais le signe sensible de l’amitié de « Tous les matins du monde ». Nul n’a autant besoin d’un sourire même sarcastique que celui qui perd un ami. Alors, salut l’artiste, adieu à ce tigre recréé par la magie de ton interprétation où Michel tu te glissais avec génie dans la peau de « Clémenceau » pour au final nous donner un bouquet d’émotion. Voici le sentiment de la vie réelle qui t’abandonne aujourd’hui peu à peu, sous les ondes insondables de cette mer où les rêveurs des théâtres, ont laissé leur raison, sous les applaudissements. F  https://lnkd.in/ewYGKfMY ",789,4
InterLab SAE,« Nous ne pouvons ressourdre nos problèmes avec les habitudes de pensée qui les ont créés ». Cette citation d’Albert Einstein peut bien expliquer la démarche de l’OCP de créer une plate-forme d’open innovation #innovation #OCP #OpenInnovation ,790,4
Digital Pen Corporation,"Aujourd’hui, toutes les activités sont touchées par la #transformationdigitale . En effet, la #digitalisation  offre l’opportunité non seulement de gagner en efficacité, mais aussi de pouvoir mieux répondre aux attentes de ses #collaborateurs  et de ses #clients .   Découvrez dans cet article les clés d’une digitalisation réussie et par où commencer.          ",791,4
Ma Consultante Bien-Aimée," L’interview du mois de @MaConsultanteBienAimée !   La magie de cette rencontre : prendre conscience que l'ADN transforme la culture de l'entreprise.  Ce mois-ci, nous rencontrons Céline Aupin Coulbault, révélatrice des richesses humaines à la MAIF. Nous avons exploré avec elle les liens entre identité, image de marque et fonctionnement d’organisation… pour révéler l’impact de l’ADN dans son entreprise. #ADNimpact #marqueADN #ADNconnect   Retrouvez notre abracadabra à l’issue de l’interview, pour profiter de conseils et éclairer vos propres transformations !   Merci à Céline Aupin Coulbault de la MAIF  Magicalement vôtre  Florence & Cécile Ma Consultante Bien-Aimée #MarketingDeValeur #Engagement #Management #Communication #RessourcesHumaines #conduiteduchangement ",792,4
Antoine Vial,quelques réflexions entre les deux tours que je partage avec vous. #santé #élection #trésormenacé #macron #lepen ,793,4
Service Informatique,"Le système d’information est au cœur de chaque entreprise, quelle que soit sa taille ou son domaine d’activité. Nous vous aidons à en connaître le fonctionnement et le rôle qu'il joue pour votre entreprise !         ",794,4
Naully Nicolas,"La #souveraineténumérique désigne la capacité de contrôler sa propre destinée numérique, c'est-à-dire les données, le matériel et les logiciels dont on dépend et qu'on crée. Elle est devenue une préoccupation pour de nombreux décideurs politiques qui estiment que trop de contrôle est cédé à trop peu d'endroits, que le choix est trop limité sur le marché des technologies et que trop de pouvoir est entre les mains d'un petit nombre de grandes entreprises technologiques.  L'une des principales préoccupations concernant la souveraineté numérique est qu'un petit nombre de grandes entreprises technologiques contrôlent des quantités massives de données sur leurs utilisateurs. Et avec autant d'utilisateurs et autant d'informations, leurs politiques et leurs actions peuvent avoir une influence considérable. Twitter, qui a banni plusieurs utilisateurs très connus de sa plateforme, en est un exemple. Cela a conduit certaines personnes à reprocher à l'entreprise de restreindre la liberté d'expression.  #digitalregulation #transformationnumerique #digitalsovereignty #innovation #transfonum #technologie #transformation #gafam #leprince #machiavel #digital #intelligence #entreprises #digitalgovernance   Poke Gabriel Stéphane Koch Pierre-Alexandre Kleiber Décideurs Magazine - Groupe Leaders League  Chrysostome Nkoumbi-Samba, MBA Luigi Matrone Giuliano Liguori Pierre Berendes Jean-Henry Morin Jean de Dieu GBENOUTIN BADE Stéphanie Bretonnière  Jonathan Chan Isabelle Piel Vincent Champain Edith JolicoeurEmmanuel Chiva Cédric DENIS-REMIS Hervé Grandjean Éditions des Équateurs Gilles Ruffieux Portail de l'Intelligence Économique Aline Isoz Chrysostome Nkoumbi-Samba, MBA Stéphane Séguin Giuliano Liguori Ecole de Guerre Economique – EGE  Aimé Mukuma Reine Toungui Dominique Bruno Haden Nathalie KIENGA Kriss Brochec  Digital entrepreneur Dr. Kany Toure noelle van der waag-cowling Abdul Hakeem G.Modeste MIOKO D. Pascaline ODOUBOUROU Eve Gani Denise EPOTE ",795,4
Philippe Métais,"Bénéficiant d’un de nos accompagnement, la start-up ENTENT est l’un des 5 lauréats de l’appel à projet de GRDF sur la Décarbonation de l’industrie lancé au cours du premier semestre 2021. Elle développe une solution innovante de production d’électricité à basse température, baptisée “Pulse”, au moyen d’un moteur nouvelle génération.    Découvrez le projet en détail dans cet article !   #GRDF #Energie #TransitionEnergétique ",796,4
